中文名,英文名,等级,等级内序号,海克斯名称
暗裔剑魔,Aatrox,黄金,8,质变：棱彩阶
暗裔剑魔,Aatrox,黄金,9,罪恶快感
暗裔剑魔,Aatrox,黄金,10,夜狩
暗裔剑魔,Aatrox,黄金,11,升级：狂妄
暗裔剑魔,Aatrox,黄金,12,吸血习性
暗裔剑魔,Aatrox,黄金,13,缩小引擎
暗裔剑魔,Aatrox,黄金,14,吞噬灵魂
暗裔剑魔,Aatrox,黄金,15,尖端发明家
暗裔剑魔,Aatrox,黄金,16,黎明使者的坚决
暗裔剑魔,Aatrox,黄金,17,关键暴击
暗裔剑魔,Aatrox,黄金,18,循环往复
暗裔剑魔,Aatrox,黄金,19,灵魂虹吸
暗裔剑魔,Aatrox,黄金,20,面包和黄油
暗裔剑魔,Aatrox,黄金,21,任务：钢化你心
暗裔剑魔,Aatrox,黄金,22,升级：无尽之刃
暗裔剑魔,Aatrox,黄金,23,心灵净化
暗裔剑魔,Aatrox,黄金,24,坦克引擎
暗裔剑魔,Aatrox,黄金,25,捐赠
暗裔剑魔,Aatrox,黄金,26,红包
暗裔剑魔,Aatrox,黄金,27,最终都市列车
暗裔剑魔,Aatrox,黄金,28,咏叹奏鸣
暗裔剑魔,Aatrox,黄金,29,星界躯体
暗裔剑魔,Aatrox,黄金,30,虚幻武器
暗裔剑魔,Aatrox,黄金,31,有始有终
暗裔剑魔,Aatrox,黄金,32,回力OK镖
暗裔剑魔,Aatrox,黄金,33,坚韧
暗裔剑魔,Aatrox,黄金,34,无休回复
暗裔剑魔,Aatrox,黄金,35,更万用的瞄准镜
暗裔剑魔,Aatrox,黄金,36,易损
暗裔剑魔,Aatrox,黄金,37,急急小子
暗裔剑魔,Aatrox,黄金,38,闪现向前
暗裔剑魔,Aatrox,黄金,39,面包和奶酪
暗裔剑魔,Aatrox,黄金,40,一板一眼
暗裔剑魔,Aatrox,黄金,41,神圣干预
暗裔剑魔,Aatrox,黄金,42,作弊：我能回城！
暗裔剑魔,Aatrox,黄金,43,升级：雪球
暗裔剑魔,Aatrox,黄金,44,雪球扭蛋机
暗裔剑魔,Aatrox,黄金,45,弹球
暗裔剑魔,Aatrox,黄金,46,生机迸发
暗裔剑魔,Aatrox,黄金,47,魄罗爆破手
暗裔剑魔,Aatrox,白银,1,急救用具
暗裔剑魔,Aatrox,白银,2,暗影疾奔
暗裔剑魔,Aatrox,白银,3,残暴之力
暗裔剑魔,Aatrox,白银,4,扇巴掌
暗裔剑魔,Aatrox,白银,5,渴血
暗裔剑魔,Aatrox,白银,6,快中求稳
暗裔剑魔,Aatrox,白银,7,负重爆气
暗裔剑魔,Aatrox,白银,8,大力
暗裔剑魔,Aatrox,白银,9,炼狱龙魂
暗裔剑魔,Aatrox,白银,10,自我毁灭
暗裔剑魔,Aatrox,白银,11,终极不可阻挡
暗裔剑魔,Aatrox,白银,12,魔法转物理
暗裔剑魔,Aatrox,白银,13,质变：黄金阶
暗裔剑魔,Aatrox,白银,14,升级：收集者
暗裔剑魔,Aatrox,白银,15,速度恶魔
暗裔剑魔,Aatrox,白银,16,杀意翻涌
暗裔剑魔,Aatrox,白银,17,俯冲轰炸
暗裔剑魔,Aatrox,白银,18,冰霜 幽灵
暗裔剑魔,Aatrox,白银,19,恶趣味
暗裔剑魔,Aatrox,白银,20,会心防御
暗裔剑魔,Aatrox,白银,21,重量级打击手
暗裔剑魔,Aatrox,白银,22,练腿日
暗裔剑魔,Aatrox,白银,23,强力护盾
暗裔剑魔,Aatrox,白银,24,刃下生风
暗裔剑魔,Aatrox,白银,25,逃跑计划
九尾妖狐,Ahri,棱彩,1,全凭身法
九尾妖狐,Ahri,棱彩,2,尤里卡
九尾妖狐,Ahri,棱彩,3,炼狱导管
九尾妖狐,Ahri,棱彩,4,珠光护手
九尾妖狐,Ahri,棱彩,5,任务：沃格勒特的巫师帽
九尾妖狐,Ahri,棱彩,6,巨人杀手
九尾妖狐,Ahri,棱彩,7,无限循环往复
九尾妖狐,Ahri,棱彩,8,虚空裂隙
九尾妖狐,Ahri,棱彩,9,大地苏醒
九尾妖狐,Ahri,棱彩,10,质变：混沌
九尾妖狐,Ahri,棱彩,11,小丑学院
九尾妖狐,Ahri,棱彩,12,残忍
九尾妖狐,Ahri,棱彩,13,不祥契约
九尾妖狐,Ahri,棱彩,14,终极唤醒
九尾妖狐,Ahri,棱彩,15,你摸不到
九尾妖狐,Ahri,棱彩,16,全能龙魂
九尾妖狐,Ahri,棱彩,17,量子计算
九尾妖狐,Ahri,棱彩,18,踢踏舞
九尾妖狐,Ahri,棱彩,19,终极刷新
九尾妖狐,Ahri,棱彩,20,精怪魔法
九尾妖狐,Ahri,棱彩,21,玻璃大炮
九尾妖狐,Ahri,棱彩,22,史上最大雪球
九尾妖狐,Ahri,棱彩,23,夺金
九尾妖狐,Ahri,棱彩,24,当心小蛋糕！
九尾妖狐,Ahri,黄金,1,裁决使
九尾妖狐,Ahri,黄金,2,有始有终
九尾妖狐,Ahri,黄金,3,基石法师
九尾妖狐,Ahri,黄金,4,循环往复
九尾妖狐,Ahri,黄金,5,穿针引线
九尾妖狐,Ahri,黄金,6,面包和黄油
九尾妖狐,Ahri,黄金,7,神射法师
九尾妖狐,Ahri,黄金,8,魔法飞弹
九尾妖狐,Ahri,黄金,9,超强大脑
九尾妖狐,Ahri,黄金,10,杀戮时间到了
九尾妖狐,Ahri,黄金,11,质变：棱彩阶
九尾妖狐,Ahri,黄金,12,溢流
九尾妖狐,Ahri,黄金,13,吸血习性
九尾妖狐,Ahri,黄金,14,缩小引擎
九尾妖狐,Ahri,黄金,15,超凡邪恶
九尾妖狐,Ahri,黄金,16,红包
九尾妖狐,Ahri,黄金,17,祖母的辣椒油
九尾妖狐,Ahri,黄金,18,魄罗爆破手
九尾妖狐,Ahri,黄金,19,狂徒豪气
九尾妖狐,Ahri,黄金,20,古式佳酿
九尾妖狐,Ahri,黄金,21,老练狙神
九尾妖狐,Ahri,黄金,22,面包和果酱
九尾妖狐,Ahri,黄金,23,面包和奶酪
九尾妖狐,Ahri,黄金,24,作弊：我能回城！
九尾妖狐,Ahri,黄金,25,夜狩
九尾妖狐,Ahri,黄金,26,心灵净化
九尾妖狐,Ahri,黄金,27,暴击飞弹
九尾妖狐,Ahri,黄金,28,吞噬灵魂
九尾妖狐,Ahri,黄金,29,捐赠
九尾妖狐,Ahri,黄金,30,最终都市列车
九尾妖狐,Ahri,黄金,31,咏叹奏鸣
九尾妖狐,Ahri,黄金,32,尖端发明家
九尾妖狐,Ahri,黄金,33,虚幻武器
九尾妖狐,Ahri,黄金,34,关键暴击
九尾妖狐,Ahri,黄金,35,回力OK镖
九尾妖狐,Ahri,黄金,36,无休回复
九尾妖狐,Ahri,黄金,37,炽烈黎明
九尾妖狐,Ahri,黄金,38,易损
九尾妖狐,Ahri,黄金,39,急急小子
九尾妖狐,Ahri,黄金,40,闪现向前
九尾妖狐,Ahri,黄金,41,神圣干预
九尾妖狐,Ahri,黄金,42,罪恶快感
九尾妖狐,Ahri,黄金,43,升级：雪球
九尾妖狐,Ahri,黄金,44,雪球扭蛋机
九尾妖狐,Ahri,黄金,45,弹球
九尾妖狐,Ahri,白银,1,巫师式思考
九尾妖狐,Ahri,白银,2,扇巴掌
九尾妖狐,Ahri,白银,3,渴血
九尾妖狐,Ahri,白银,4,物理转魔法
九尾妖狐,Ahri,白银,5,火狐
九尾妖狐,Ahri,白银,6,帽上加帽
九尾妖狐,Ahri,白银,7,速度恶魔
九尾妖狐,Ahri,白银,8,双生火焰
九尾妖狐,Ahri,白银,9,负重爆气
九尾妖狐,Ahri,白银,10,霸符兄弟
九尾妖狐,Ahri,白银,11,炼狱龙魂
九尾妖狐,Ahri,白银,12,由心及物
九尾妖狐,Ahri,白银,13,海洋龙魂
九尾妖狐,Ahri,白银,14,暗影疾奔
九尾妖狐,Ahri,白银,15,质变：黄金阶
九尾妖狐,Ahri,白银,16,快中求稳
九尾妖狐,Ahri,白银,17,刃下生风
九尾妖狐,Ahri,白银,18,升级：中娅
九尾妖狐,Ahri,白银,19,海克斯科技龙魂
九尾妖狐,Ahri,白银,20,杀意翻涌
九尾妖狐,Ahri,白银,21,俯冲轰炸
九尾妖狐,Ahri,白银,22,防护面纱
九尾妖狐,Ahri,白银,23,点亮他们！
九尾妖狐,Ahri,白银,24,家园卫士
九尾妖狐,Ahri,白银,25,自我毁灭
九尾妖狐,Ahri,白银,26,终极不可阻挡
九尾妖狐,Ahri,白银,27,旋转至胜
九尾妖狐,Ahri,白银,28,练腿日
九尾妖狐,Ahri,白银,29,强力护盾
九尾妖狐,Ahri,白银,30,逃跑计划
九尾妖狐,Ahri,白银,31,狂热者
九尾妖狐,Ahri,白银,32,注魔
离群之刺,Akali,棱彩,1,全凭身法
离群之刺,Akali,棱彩,2,尤里卡
离群之刺,Akali,棱彩,3,珠光护手
离群之刺,Akali,棱彩,4,物法皆修
离群之刺,Akali,棱彩,5,任务：沃格勒特的巫师帽
离群之刺,Akali,棱彩,6,巨人杀手
离群之刺,Akali,棱彩,7,小丑学院
离群之刺,Akali,棱彩,8,最终形态
离群之刺,Akali,棱彩,9,大地苏醒
离群之刺,Akali,棱彩,10,歌利亚巨人
离群之刺,Akali,棱彩,11,质变：混沌
离群之刺,Akali,棱彩,12,不祥契约
离群之刺,Akali,棱彩,13,无限循环往复
离群之刺,Akali,棱彩,14,扳机炼狱
离群之刺,Akali,棱彩,15,利刃华尔兹
离群之刺,Akali,棱彩,16,你摸不到
离群之刺,Akali,棱彩,17,炼狱导管
离群之刺,Akali,棱彩,18,量子计算
离群之刺,Akali,棱彩,19,终极刷新
离群之刺,Akali,棱彩,20,史上最大雪球
离群之刺,Akali,棱彩,21,终极唤醒
离群之刺,Akali,棱彩,22,神圣雪球
离群之刺,Akali,棱彩,23,舞会女王
离群之刺,Akali,棱彩,24,当心小蛋糕！
离群之刺,Akali,棱彩,25,虚空裂隙
离群之刺,Akali,棱彩,26,飞身踢
离群之刺,Akali,黄金,1,裁决使
离群之刺,Akali,黄金,2,有始有终
离群之刺,Akali,黄金,3,狂徒豪气
离群之刺,Akali,黄金,4,穿针引线
离群之刺,Akali,黄金,5,神射法师
离群之刺,Akali,黄金,6,魔法飞弹
离群之刺,Akali,黄金,7,超强大脑
离群之刺,Akali,黄金,8,杀戮时间到了
离群之刺,Akali,黄金,9,质变：棱彩阶
离群之刺,Akali,黄金,10,夜狩
离群之刺,Akali,黄金,11,吸血习性
离群之刺,Akali,黄金,12,缩小引擎
离群之刺,Akali,黄金,13,捐赠
离群之刺,Akali,黄金,14,超凡邪恶
离群之刺,Akali,黄金,15,红包
离群之刺,Akali,黄金,16,尖端发明家
离群之刺,Akali,黄金,17,魔鬼之舞
离群之刺,Akali,黄金,18,古式佳酿
离群之刺,Akali,黄金,19,循环往复
离群之刺,Akali,黄金,20,面包和果酱
离群之刺,Akali,黄金,21,任务：钢化你心
离群之刺,Akali,黄金,22,神圣干预
离群之刺,Akali,黄金,23,罪恶快感
离群之刺,Akali,黄金,24,升级：雪球
离群之刺,Akali,黄金,25,升级：狂妄
离群之刺,Akali,黄金,26,雪球扭蛋机
离群之刺,Akali,黄金,27,心灵净化
离群之刺,Akali,黄金,28,坦克引擎
离群之刺,Akali,黄金,29,弹球
离群之刺,Akali,黄金,30,最终都市列车
离群之刺,Akali,黄金,31,祖母的辣椒油
离群之刺,Akali,黄金,32,魄罗爆破手
离群之刺,Akali,黄金,33,咏叹奏鸣
离群之刺,Akali,黄金,34,升级：耀光
离群之刺,Akali,黄金,35,虚幻武器
离群之刺,Akali,黄金,36,关键暴击
离群之刺,Akali,黄金,37,基石法师
离群之刺,Akali,黄金,38,回力OK镖
离群之刺,Akali,黄金,39,无休回复
离群之刺,Akali,黄金,40,更万用的瞄准镜
离群之刺,Akali,黄金,41,灵魂虹吸
离群之刺,Akali,黄金,42,面包和黄油
离群之刺,Akali,黄金,43,面包和奶酪
离群之刺,Akali,黄金,44,作弊：我能回城！
离群之刺,Akali,黄金,45,生机迸发
离群之刺,Akali,白银,1,炼狱龙魂
离群之刺,Akali,白银,2,暗影疾奔
离群之刺,Akali,白银,3,巫师式思考
离群之刺,Akali,白银,4,渴血
离群之刺,Akali,白银,5,物理转魔法
离群之刺,Akali,白银,6,质变：黄金阶
离群之刺,Akali,白银,7,火狐
离群之刺,Akali,白银,8,快中求稳
离群之刺,Akali,白银,9,升级：中娅
离群之刺,Akali,白银,10,速度恶魔
离群之刺,Akali,白银,11,俯冲轰炸
离群之刺,Akali,白银,12,自我毁灭
离群之刺,Akali,白银,13,终极不可阻挡
离群之刺,Akali,白银,14,帽上加帽
离群之刺,Akali,白银,15,负重爆气
离群之刺,Akali,白银,16,杀意翻涌
离群之刺,Akali,白银,17,霸符兄弟
离群之刺,Akali,白银,18,魔法转物理
离群之刺,Akali,白银,19,练腿日
离群之刺,Akali,白银,20,刃下生风
离群之刺,Akali,白银,21,升级：收集者
离群之刺,Akali,白银,22,逃跑计划
离群之刺,Akali,白银,23,双生火焰
离群之刺,Akali,白银,24,海克斯科技龙魂
离群之刺,Akali,白银,25,狂热者
影哨,Akshan,棱彩,1,踢踏舞
影哨,Akshan,棱彩,2,最万用的瞄准镜
影哨,Akshan,棱彩,3,巨人杀手
影哨,Akshan,棱彩,4,连拨击锤
影哨,Akshan,棱彩,5,双刀流
影哨,Akshan,棱彩,6,珠光护手
影哨,Akshan,棱彩,7,秘术冲拳
影哨,Akshan,棱彩,8,战争交响乐
影哨,Akshan,棱彩,9,亮出你的剑
影哨,Akshan,棱彩,10,质变：混沌
影哨,Akshan,棱彩,11,玻璃大炮
影哨,Akshan,棱彩,12,夺金
影哨,Akshan,棱彩,13,无限循环往复
影哨,Akshan,棱彩,14,地狱三头犬
影哨,Akshan,棱彩,15,当心小蛋糕！
影哨,Akshan,棱彩,16,飞身踢
影哨,Akshan,棱彩,17,回归基本功
影哨,Akshan,棱彩,18,全能龙魂
影哨,Akshan,棱彩,19,量子计算
影哨,Akshan,棱彩,20,终极刷新
影哨,Akshan,棱彩,21,任务：海牛阿福的勇士
影哨,Akshan,棱彩,22,小丑学院
影哨,Akshan,棱彩,23,史上最大雪球
影哨,Akshan,棱彩,24,尊我为王
影哨,Akshan,棱彩,25,扳机炼狱
影哨,Akshan,黄金,1,火上浇油
影哨,Akshan,黄金,2,闪电打击
影哨,Akshan,黄金,3,更万用的瞄准镜
影哨,Akshan,黄金,4,穿针引线
影哨,Akshan,黄金,5,接二连三
影哨,Akshan,黄金,6,魔法飞弹
影哨,Akshan,黄金,7,质变：棱彩阶
影哨,Akshan,黄金,8,罪恶快感
影哨,Akshan,黄金,9,暴击律动
影哨,Akshan,黄金,10,升级：无尽之刃
影哨,Akshan,黄金,11,吸血习性
影哨,Akshan,黄金,12,暴击飞弹
影哨,Akshan,黄金,13,双发快射
影哨,Akshan,黄金,14,虚幻武器
影哨,Akshan,黄金,15,裁决使
影哨,Akshan,黄金,16,有始有终
影哨,Akshan,黄金,17,关键暴击
影哨,Akshan,黄金,18,缩小射线
影哨,Akshan,黄金,19,灵魂虹吸
影哨,Akshan,黄金,20,易损
影哨,Akshan,黄金,21,会心治疗
影哨,Akshan,黄金,22,一板一眼
影哨,Akshan,黄金,23,作弊：我能回城！
影哨,Akshan,黄金,24,升级：狂妄
影哨,Akshan,黄金,25,心灵净化
影哨,Akshan,黄金,26,缩小引擎
影哨,Akshan,黄金,27,捐赠
影哨,Akshan,黄金,28,红包
影哨,Akshan,黄金,29,咏叹奏鸣
影哨,Akshan,黄金,30,尖端发明家
影哨,Akshan,黄金,31,回力OK镖
影哨,Akshan,黄金,32,循环往复
影哨,Akshan,黄金,33,无休回复
影哨,Akshan,黄金,34,面包和黄油
影哨,Akshan,黄金,35,老练狙神
影哨,Akshan,黄金,36,神射法师
影哨,Akshan,黄金,37,任务：钢化你心
影哨,Akshan,黄金,38,杀戮时间到了
影哨,Akshan,黄金,39,神圣干预
影哨,Akshan,黄金,40,夜狩
影哨,Akshan,黄金,41,升级：雪球
影哨,Akshan,黄金,42,雪球扭蛋机
影哨,Akshan,黄金,43,坦克引擎
影哨,Akshan,黄金,44,弹球
影哨,Akshan,黄金,45,最终都市列车
影哨,Akshan,黄金,46,生机迸发
影哨,Akshan,黄金,47,魄罗爆破手
影哨,Akshan,白银,1,灵巧
影哨,Akshan,白银,2,点亮他们！
影哨,Akshan,白银,3,台风
影哨,Akshan,白银,4,渴血
影哨,Akshan,白银,5,万用瞄准镜
影哨,Akshan,白银,6,升级：收集者
影哨,Akshan,白银,7,大力
影哨,Akshan,白银,8,会心防御
影哨,Akshan,白银,9,残暴之力
影哨,Akshan,白银,10,魔法转物理
影哨,Akshan,白银,11,质变：黄金阶
影哨,Akshan,白银,12,活力再生
影哨,Akshan,白银,13,霸符兄弟
影哨,Akshan,白银,14,侵蚀
影哨,Akshan,白银,15,炼狱龙魂
影哨,Akshan,白银,16,家园卫士
影哨,Akshan,白银,17,旋转至胜
影哨,Akshan,白银,18,练腿日
影哨,Akshan,白银,19,逃跑计划
影哨,Akshan,白银,20,海克斯科技龙魂
影哨,Akshan,白银,21,由暴生急
牛头酋长,Alistar,棱彩,1,巨像的勇气
牛头酋长,Alistar,棱彩,2,歌利亚巨人
牛头酋长,Alistar,棱彩,3,慢炖
牛头酋长,Alistar,棱彩,4,残忍
牛头酋长,Alistar,棱彩,5,任务：艾卡西亚的陷落
牛头酋长,Alistar,棱彩,6,无限循环往复
牛头酋长,Alistar,棱彩,7,死亡之环
牛头酋长,Alistar,棱彩,8,尤里卡
牛头酋长,Alistar,棱彩,9,珠光护手
牛头酋长,Alistar,棱彩,10,量子计算
牛头酋长,Alistar,棱彩,11,质变：混沌
牛头酋长,Alistar,棱彩,12,蛋白粉奶昔
牛头酋长,Alistar,棱彩,13,史上最大雪球
牛头酋长,Alistar,棱彩,14,最终形态
牛头酋长,Alistar,棱彩,15,舞会女王
牛头酋长,Alistar,棱彩,16,飞身踢
牛头酋长,Alistar,棱彩,17,炼狱导管
牛头酋长,Alistar,棱彩,18,踢踏舞
牛头酋长,Alistar,棱彩,19,风语者的祝福
牛头酋长,Alistar,棱彩,20,任务：沃格勒特的巫师帽
牛头酋长,Alistar,棱彩,21,巨人杀手
牛头酋长,Alistar,棱彩,22,小丑学院
牛头酋长,Alistar,棱彩,23,砍伤
牛头酋长,Alistar,棱彩,24,激光治疗
牛头酋长,Alistar,棱彩,25,终极唤醒
牛头酋长,Alistar,棱彩,26,神圣雪球
牛头酋长,Alistar,棱彩,27,当心小蛋糕！
牛头酋长,Alistar,棱彩,28,虚空裂隙
牛头酋长,Alistar,棱彩,29,魄罗之王的弹跳
牛头酋长,Alistar,黄金,1,星界躯体
牛头酋长,Alistar,黄金,2,裁决使
牛头酋长,Alistar,黄金,3,坚韧
牛头酋长,Alistar,黄金,4,古式佳酿
牛头酋长,Alistar,黄金,5,不动如山
牛头酋长,Alistar,黄金,6,任务：钢化你心
牛头酋长,Alistar,黄金,7,质变：棱彩阶
牛头酋长,Alistar,黄金,8,坦克引擎
牛头酋长,Alistar,黄金,9,缩小引擎
牛头酋长,Alistar,黄金,10,吞噬灵魂
牛头酋长,Alistar,黄金,11,超凡邪恶
牛头酋长,Alistar,黄金,12,祖母的辣椒油
牛头酋长,Alistar,黄金,13,咏叹奏鸣
牛头酋长,Alistar,黄金,14,尖端发明家
牛头酋长,Alistar,黄金,15,黎明使者的坚决
牛头酋长,Alistar,黄金,16,有始有终
牛头酋长,Alistar,黄金,17,循环往复
牛头酋长,Alistar,黄金,18,无休回复
牛头酋长,Alistar,黄金,19,面包和黄油
牛头酋长,Alistar,黄金,20,会心治疗
牛头酋长,Alistar,黄金,21,魔法飞弹
牛头酋长,Alistar,黄金,22,面包和果酱
牛头酋长,Alistar,黄金,23,神圣干预
牛头酋长,Alistar,黄金,24,溢流
牛头酋长,Alistar,黄金,25,作弊：我能回城！
牛头酋长,Alistar,黄金,26,升级：雪球
牛头酋长,Alistar,黄金,27,雪球扭蛋机
牛头酋长,Alistar,黄金,28,心灵净化
牛头酋长,Alistar,黄金,29,弹球
牛头酋长,Alistar,黄金,30,捐赠
牛头酋长,Alistar,黄金,31,红包
牛头酋长,Alistar,黄金,32,最终都市列车
牛头酋长,Alistar,黄金,33,生机迸发
牛头酋长,Alistar,黄金,34,魄罗爆破手
牛头酋长,Alistar,黄金,35,虚幻武器
牛头酋长,Alistar,黄金,36,基石法师
牛头酋长,Alistar,黄金,37,回力OK镖
牛头酋长,Alistar,黄金,38,狂徒豪气
牛头酋长,Alistar,黄金,39,穿针引线
牛头酋长,Alistar,黄金,40,闪现向前
牛头酋长,Alistar,黄金,41,神射法师
牛头酋长,Alistar,黄金,42,全心为你
牛头酋长,Alistar,黄金,43,超强大脑
牛头酋长,Alistar,黄金,44,圣火
牛头酋长,Alistar,黄金,45,杀戮时间到了
牛头酋长,Alistar,黄金,46,吸血习性
牛头酋长,Alistar,白银,1,冰霜 幽灵
牛头酋长,Alistar,白银,2,恶趣味
牛头酋长,Alistar,白银,3,折磨者
牛头酋长,Alistar,白银,4,自我毁灭
牛头酋长,Alistar,白银,5,扇巴掌
牛头酋长,Alistar,白银,6,重量级打击手
牛头酋长,Alistar,白银,7,升级：献祭
牛头酋长,Alistar,白银,8,坚若磐石
牛头酋长,Alistar,白银,9,俯冲轰炸
牛头酋长,Alistar,白银,10,急救用具
牛头酋长,Alistar,白银,11,由心及物
牛头酋长,Alistar,白银,12,山脉龙魂
牛头酋长,Alistar,白银,13,巫师式思考
牛头酋长,Alistar,白银,14,质变：黄金阶
牛头酋长,Alistar,白银,15,火狐
牛头酋长,Alistar,白银,16,速度恶魔
牛头酋长,Alistar,白银,17,升级：荆棘之甲
牛头酋长,Alistar,白银,18,负重爆气
牛头酋长,Alistar,白银,19,侵蚀
牛头酋长,Alistar,白银,20,海洋龙魂
牛头酋长,Alistar,白银,21,暗影疾奔
牛头酋长,Alistar,白银,22,天音爆
牛头酋长,Alistar,白银,23,物理转魔法
牛头酋长,Alistar,白银,24,练腿日
牛头酋长,Alistar,白银,25,快中求稳
牛头酋长,Alistar,白银,26,逃跑计划
牛头酋长,Alistar,白银,27,帽上加帽
铁血狼母,Ambessa,棱彩,1,全凭身法
铁血狼母,Ambessa,棱彩,2,大地苏醒
铁血狼母,Ambessa,棱彩,3,歌利亚巨人
铁血狼母,Ambessa,棱彩,4,珠光护手
铁血狼母,Ambessa,棱彩,5,小丑学院
铁血狼母,Ambessa,棱彩,6,最终形态
铁血狼母,Ambessa,棱彩,7,扳机炼狱
铁血狼母,Ambessa,棱彩,8,利刃华尔兹
铁血狼母,Ambessa,棱彩,9,秘术冲拳
铁血狼母,Ambessa,棱彩,10,战争交响乐
铁血狼母,Ambessa,棱彩,11,巨人杀手
铁血狼母,Ambessa,棱彩,12,质变：混沌
铁血狼母,Ambessa,棱彩,13,无限循环往复
铁血狼母,Ambessa,棱彩,14,回归基本功
铁血狼母,Ambessa,棱彩,15,你摸不到
铁血狼母,Ambessa,棱彩,16,量子计算
铁血狼母,Ambessa,棱彩,17,踢踏舞
铁血狼母,Ambessa,棱彩,18,终极刷新
铁血狼母,Ambessa,棱彩,19,史上最大雪球
铁血狼母,Ambessa,棱彩,20,终极唤醒
铁血狼母,Ambessa,棱彩,21,神圣雪球
铁血狼母,Ambessa,棱彩,22,舞会女王
铁血狼母,Ambessa,棱彩,23,当心小蛋糕！
铁血狼母,Ambessa,棱彩,24,飞身踢
铁血狼母,Ambessa,黄金,1,魔鬼之舞
铁血狼母,Ambessa,黄金,2,裁决使
铁血狼母,Ambessa,黄金,3,狂徒豪气
铁血狼母,Ambessa,黄金,4,古式佳酿
铁血狼母,Ambessa,黄金,5,穿针引线
铁血狼母,Ambessa,黄金,6,质变：棱彩阶
铁血狼母,Ambessa,黄金,7,夜狩
铁血狼母,Ambessa,黄金,8,升级：狂妄
铁血狼母,Ambessa,黄金,9,吸血习性
铁血狼母,Ambessa,黄金,10,缩小引擎
铁血狼母,Ambessa,黄金,11,尖端发明家
铁血狼母,Ambessa,黄金,12,关键暴击
铁血狼母,Ambessa,黄金,13,循环往复
铁血狼母,Ambessa,黄金,14,灵魂虹吸
铁血狼母,Ambessa,黄金,15,面包和黄油
铁血狼母,Ambessa,黄金,16,会心治疗
铁血狼母,Ambessa,黄金,17,面包和果酱
铁血狼母,Ambessa,黄金,18,任务：钢化你心
铁血狼母,Ambessa,黄金,19,杀戮时间到了
铁血狼母,Ambessa,黄金,20,神圣干预
铁血狼母,Ambessa,黄金,21,罪恶快感
铁血狼母,Ambessa,黄金,22,升级：雪球
铁血狼母,Ambessa,黄金,23,雪球扭蛋机
铁血狼母,Ambessa,黄金,24,心灵净化
铁血狼母,Ambessa,黄金,25,坦克引擎
铁血狼母,Ambessa,黄金,26,弹球
铁血狼母,Ambessa,黄金,27,捐赠
铁血狼母,Ambessa,黄金,28,红包
铁血狼母,Ambessa,黄金,29,最终都市列车
铁血狼母,Ambessa,黄金,30,咏叹奏鸣
铁血狼母,Ambessa,黄金,31,黎明使者的坚决
铁血狼母,Ambessa,黄金,32,虚幻武器
铁血狼母,Ambessa,黄金,33,有始有终
铁血狼母,Ambessa,黄金,34,回力OK镖
铁血狼母,Ambessa,黄金,35,坚韧
铁血狼母,Ambessa,黄金,36,无休回复
铁血狼母,Ambessa,黄金,37,更万用的瞄准镜
铁血狼母,Ambessa,黄金,38,易损
铁血狼母,Ambessa,黄金,39,急急小子
铁血狼母,Ambessa,黄金,40,面包和奶酪
铁血狼母,Ambessa,黄金,41,一板一眼
铁血狼母,Ambessa,黄金,42,作弊：我能回城！
铁血狼母,Ambessa,黄金,43,升级：无尽之刃
